CORSO DI STUDI,PAROLE CHIAVE - IT
ARCHITETTURA,planning; museum; exhibition; virtuality
INGEGNERIA AERONAUTICA,incompressible Navier-Stokes equations; fluid-structure interaction; fictitious domain method; large displacements; fixed and free cylinder; artificial cardiac valve
INGEGNERIA DEI MATERIALI,low temperature; aggressive environment; fracture toughness of steel
ARCHITETTURA,therme; Comano; wellness; landscape; urban renovation; territory; work in progress
INGEGNERIA DEI MATERIALI,nickel electroforming; nickel alloys
INGEGNERIA AERONAUTICA,fluid-structure interaction; coupled analysis; ceramic thermal protection system; high-enthalpy hypersonic flow; arc-heated facility; aerothermodynamics
INGEGNERIA MECCANICA,supply chain management; supply chain risk management; risk management; empirical research; performance
ARCHITETTURA,public spaces; urban space; knowledge economy; society; old town; urban blight; Modena; Mantova; Lugano; structure; identity and specificity; urban transformation; revitalization; urban planning; attractiveness
INGEGNERIA ELETTRICA,HEVs; PHEVs
ARCHITETTURA,Palazzo Campagnola; San Giovanni Lupatoto; enlargement of 1966; multicriteria analysis
INGEGNERIA MECCANICA,gaskets; poliurethane; quick-release couplings; FEM analysis
INGEGNERIA MECCANICA,soundboard; piano; double bending; ribs; coaction on die; FEM; finite element method
INGEGNERIA AERONAUTICA,"hybrid propulsion; regression rate; 2D Slab Hybrid Burner; combustion efficiency; HTPB; paraffin; micro-sized aluminum; nano-sized 
aluminum"
INGEGNERIA ELETTRICA,italian electricity market; oligopoly; market power; supply function equilibrium; genetic algorithm
INGEGNERIA MECCANICA,composites; damage; fatigue; pultrusion; multiaxial; thermography
INGEGNERIA DEI MATERIALI,smart structures; smart materials; composites; helicopter; rotor; blade; damage; defect; health monitoring; sensor; actuator; demonstrator
INGEGNERIA SPAZIALE,satellites; materials; ionic propulsion; plama propulsion; photovoltaic modules; sputtering; emission lobes; contamination
INGEGNERIA DEI MATERIALI,electrospinning; nanofibers; coaxial fibers; tissue engineering; primary mesencephalic cells
INGEGNERIA ENERGETICA,solar collectors; absorption machine; solar cooling; control logic and management; performance
INGEGNERIA ENERGETICA,wind energy; wind field; CFD; anemometrical data
INGEGNERIA ENERGETICA,numerical analysis; different types of adjustment; average seasonal COP; heat pump; radiant floor; fancoil; TAP water
INGEGNERIA CHIMICA,LNT; NSR; NOx; Pt-Ba/Al2O3; FTIR spectroscopy; in situ; operando
INGEGNERIA SPAZIALE,"The European Student Earth Orbiter (ESEO); Design and Development Plan (DDP);
Assembly Integration and Verification (AIV) Plan; AIV hybrid approach"
INGEGNERIA AERONAUTICA,special process; CND; shot peening; thread rolling; chromium plating; processes qualification
INGEGNERIA ELETTRICA,supercapacitor; hybrid; electric; vehicle; series
ARCHITETTURA,churches between the river Po and Emilia Romagna; urban events; architectural events; historic notes; decorations and constructive materials; comparison with other churches in the north of Italy; fundamental matrices and variables
INGEGNERIA ENERGETICA,sorption enhanced steam methane reforming; CO2 capture; fluidized bed reactor; electric power generation; low CO2 emissions
INGEGNERIA ELETTRICA,space vector pulse width modulation; PMSG direct drive; wind power system; VOC; voltage oriented control
INGEGNERIA ENERGETICA,microcogeneration; residential trigeneration; renewable energy; Smart Grids; forecasting algorithms; heat storage
INGEGNERIA ENERGETICA,biogas; biogas upgrading; biomethane
INGEGNERIA AERONAUTICA,particle image velocimetry; swirl flows; vortex breakdown; turbulence; proper orthogonal decomposition
INGEGNERIA NUCLEARE,homogeneous reactor; molten salt reactor; breeding; MCNP
INGEGNERIA ELETTRICA,offshore wind energy; floating wind turbine; variable speed wind turbine; HVDC; multi-terminal HVDC
INGEGNERIA AERONAUTICA,GPS; stand-alone positioning; differential positioning; DGPS; RINEX; EGNOS; EMS
INGEGNERIA SPAZIALE,optimal control; immunotherapy; astrodynamics; genetic algorithm; biology; nonlinear systems
INGEGNERIA NUCLEARE,Fe islands; growth on Au(111) surface; scanning tunneling microscopy/spectroscopy; STM/STS; electronic properties
INGEGNERIA CHIMICA,combustion; soot; computational fluid dynamics; method of moments
INGEGNERIA AERONAUTICA,helicopter impacts; hybrid numerical modeling; numerical anthropomorphic test device
INGEGNERIA ENERGETICA,solar tower power; concentrating solar power plant; solar receiver; renewable energy; thermodynamic model
INGEGNERIA AERONAUTICA,damage tolerance; delamination; cohesive elements; compression after impact
INGEGNERIA DEI MATERIALI,metal foam; shape memory; SMA; Cu-Zn-Al; pseudoelasticity
INGEGNERIA MECCANICA,prosthesis; LifeMod; set up; MOCAP
INGEGNERIA MECCANICA,maintenance; R.F.I.; railway; railway plants; rail; defects
INGEGNERIA ENERGETICA,energy efficiency; best available techniques; innovative combustion technologies; consumption reduction
INGEGNERIA CHIMICA,vegetable oils; biodiesel; methanol extraction; lecithins; phytosterols
INGEGNERIA MECCANICA,ultrasonic inspection; artificial defects; fatigue crack; railway axle
ARCHITETTURA,"glass; structural glass; laminated glass; laminated safety glass; cold
 bending; glass structures; structural design; bridges; bridge of peace; fem modeling; mock-up; complex surfaces"
INGEGNERIA NUCLEARE,Fricke gel; chemical dosimetry; in vivo dosimetry; radiotherapy; brachytherapy; health physics; gel dosimetry;
INGEGNERIA AERONAUTICA,gaseous jet; impulsively started jet; Schlieren technique; penetration; entrainment; automated image analysis;
INGEGNERIA MECCANICA,shot peening; surface nanocrystallization; severe plastic deformation; fatigue
INGEGNERIA ENERGETICA,flameless combustion; eddy dissipation concept; nitrogen oxides
INGEGNERIA MECCANICA,train; Flush Air Data System; neural network; overfitting; surface estimation
ARCHITETTURA,transformation of society in the eighteenth and nineteenth centuries Verona; change purchasing; transformations of characters residential; palace noble; grand house
INGEGNERIA ELETTRICA,switchgear; spout; mv; air insulated
INGEGNERIA AERONAUTICA,MR fluids; MR devices; Bingham; Herschel-Bulkley; pressure drop; experimental activity; sedimentation
INGEGNERIA AERONAUTICA,motorcycle rear fork; motorcycle dynamic analysis; composite materials; finite elements method; structural optimization
INGEGNERIA MECCANICA,railway axles; A1N steels; A1T steels; ropagation and fatigue life; corrosion effects
INGEGNERIA AERONAUTICA,tilt-rotor Aircraft; aerodynamic coeffcients; corrections
INGEGNERIA MECCANICA,flexible boom; independent modal control; modal observer; vibration control; disturbance estimator
INGEGNERIA NUCLEARE,nuclear reactor kinetics; modelling; control; TRIGA Mark II; validation by experimental data
INGEGNERIA MECCANICA,energy vibration; electromechanical generator; piezoelectric generator; antivibration support; dynamic absorber
INGEGNERIA NUCLEARE,nuclear power plant site requirements; selection methods; exclusionary criteria; non exclusionary criteria; candidates sites
INGEGNERIA MECCANICA,turbine; free pitch blade; vertical axis wind turbine; CFD
INGEGNERIA NUCLEARE,XADS; TRANSURANUS; T91; AISI 316; fuel performance analysis; Lead-Bismuth Eutectic
INGEGNERIA MECCANICA,clinical risk management; Monitoring; patient safety; control chart
INGEGNERIA MECCANICA,CMSX-4; single-crystal; cubic symmetry; slip system; fatigue; creep
INGEGNERIA MECCANICA,maintenance; FMECA; filter; embroidery
INGEGNERIA AERONAUTICA,sonic boom; SSBJ; supersonic aircraft; preliminary aircraft design
INGEGNERIA MECCANICA,robot; transmission; conical gears; FRIEND I; pinion; reducer; link; arms; electromagnet
INGEGNERIA MECCANICA,farm tractor; hydropneumatic suspensions; rollover; comfort; handling
INGEGNERIA ELETTRICA,LV; smartgrid; generator
INGEGNERIA SPAZIALE,mercury; BepiColombo; BELA; baffle; Stavroudis; thermo-optical properties; coatings and finishing
INGEGNERIA MECCANICA,energy saving system ; energy management ; SCMT ; simulation tool ; PV
INGEGNERIA MECCANICA,mixed reality; product development; virtual prototyping; usability; head mounted display; haptic device
INGEGNERIA MECCANICA,nonlinear modal analysis; modal testing; identification of structural nonlinearities; nonlinear damping; nonlinear stiffness
INGEGNERIA ENERGETICA,organic rankine cycles; test rig for organic vapours; dynamic simulation; object-oriented modeling; nozzles for real gases
INGEGNERIA AERONAUTICA,flight test; LTF-UL (german normative); TRIAL ing. Nando Groppo s.r.l.
INGEGNERIA MECCANICA,NOx reduction; urea injection; SCR catalysts; CFD model; chemical kinetics
INGEGNERIA MECCANICA,diagnostics; extended Kalman filter; flexible boom; overload detection
INGEGNERIA MECCANICA,knowledge-based system; ontology; industrial production system classification
INGEGNERIA DEI MATERIALI,phosphate anion receptor; halogen bonding; supramolecular chemistry; fluorescence titration
INGEGNERIA NUCLEARE,polycrystalline films; yttria stabilised zirconia; nuclear waste; structural damage; ion irradiation; inelastic collisions; X-ray diffraction; Raman spectroscopy
INGEGNERIA NUCLEARE,TRANSURANUS; FGR; LWR; MOX; UO2; fuel rod performance
INGEGNERIA MECCANICA,reverse engineering; mesh; turbulence; computational fluid dynamics; numerical model validation
INGEGNERIA MECCANICA,steel production; simulation; ARENA; steel plant
INGEGNERIA ELETTRICA,performance ratio; photovoltaic; monitoring; CdTe
INGEGNERIA MECCANICA,hybrid serie vehicle; in-wheel motor; brushless; parametric model; equivalent consumption
ARCHITETTURA,plan of services; government land; L.R.12/2005; personal and business services
INGEGNERIA MECCANICA,pressure probes; Reynolds; fluidodynamics measurements; probe calibration; turbomachines measurement
INGEGNERIA MECCANICA,"critical infrastructures; functional approach; inoperability; logical
interdependences; dynamic model; case study"
INGEGNERIA ENERGETICA,"thermo-photovoltaic collectors, hybrid collectors, PVT, PVTH, so-
lar energy"
INGEGNERIA MECCANICA,"metal foams; dual phase steel; differential thermal and calorimetric analysis
(DTA/DSC); intercritical quenching; silicon carbide; DUOCELLÂ® process"
INGEGNERIA CHIMICA,polymer based nanoparticles; blood-brain barrier; pharmacology; emulsion; Poly methylmetacrylate; Polyalkyl cyanoacrylate; polylactic acid; tetracycline; loading of a tracer; Bodipy; Mario Negri; pharmacokinetic ; body distribution; biological trial; emulsion stability; stability of nanoparticles
INGEGNERIA CHIMICA,pd-catalysts; CH4 emission abatement; CH4 combustion; sulphur poisoning; catalyst regeneration; support
INGEGNERIA AERONAUTICA,optimization; production flow; PERT
INGEGNERIA ENERGETICA,energy audit; energy benchmarking; energy use retail buildings; energy save
INGEGNERIA DEI MATERIALI,multilayers; nanowires; electrodeposition; magnetic properties
INGEGNERIA MECCANICA,throughflow code; turbomachines; CFD; incidence; elastic constraint; losses
INGEGNERIA ELETTRICA,EMC; power electric lines
INGEGNERIA MECCANICA,five hole probe; anular cascade; secondary flow; vortex; stator; radial balance; three-dimensional blade; leaning; bowing; sweeping
INGEGNERIA ELETTRICA,fault protection; MVDC distribution system; power electronics; shipboard electrical system
INGEGNERIA ENERGETICA,pyrometer CPO catalysis
INGEGNERIA MECCANICA,actuation system; hydraulic system; co-simulation
INGEGNERIA AERONAUTICA,tiltrotor aircraft; rotor disk; actuator disk; velocity potential; Hess-Smith method; blade element theory
INGEGNERIA AERONAUTICA,instability; entraiment; paraffin
INGEGNERIA ENERGETICA,concentrated photovoltaic; performance ratio; efficiency; biaxial tracking system; levelized costs
INGEGNERIA MECCANICA,automotive; control system; ABS; EBD; ESP; hardware in the loop; CAN bus
INGEGNERIA NUCLEARE,"partitioning; 1,10-phenanthroline; solvent extraction; actinides; lanthanides; americium"
INGEGNERIA MECCANICA,characterization; MEMS gyroscope; sensitivity; trapezoidal integral method; cross-axis sensitivity
ARCHITETTURA,"pavilion; tent; garden pavilion, green house, subway station; temple; gallery; museum; Universal Exhibition; fair of Milan; Venice Biennale; Triennale di Milano; Esprint Nouveau pavilion of Le Corbusier; Barcelona Pavilion by Mies van der Rohe; steel frame house of Giuseppe Pagano; Breda pavilion by Luciano Baldessari; Finland pavilion by Alvar Aalto; Le Corbusier's Philips Pavilion; Pavilion of Canada by BBPR; IBM Pavilion by Renzo Piano; Pavilion on the Serpentine Gallery by Ãlvaro Siza; stand design; stand ""Monocromo""; sandstone; stand construction; preparation;exhibit design"
INGEGNERIA MECCANICA,finite element simulations; contact pressure; socket stump interface
INGEGNERIA MECCANICA,cold spray; X-ray diffractometry; shot peening; critical velocity; numerical simulation; residual stresses; aluminium particle
INGEGNERIA DEI MATERIALI,TiO2; sol-gel
INGEGNERIA CHIMICA,organic peroxides; 17^O-NMR; quantum chemistry; solvation; molecular dynamics
INGEGNERIA ELETTRICA,medium voltage three level inverter neutral-point-clamped; adjustable speed drive; output LC filter
INGEGNERIA ELETTRICA,cold-ironing; ship; shore ; feeder; converter; pollution; Venice
INGEGNERIA MECCANICA,fracture mechanics; short cracks effect; damage tolerance
INGEGNERIA AERONAUTICA,porous disc; PIV; initial conditions
INGEGNERIA CHIMICA,chemical vapor deposition; reaction engineering
INGEGNERIA AERONAUTICA,co-simulations; Multirate; multibody; block diagram; free software
INGEGNERIA AERONAUTICA,helicopter; category A; optimization; trajectory; confined area; procedures
ARCHITETTURA,green walls; green solar shading; solar envelope; solar volume
ARCHITETTURA,investment; architecture
ARCHITETTURA,civic center; sustainability
ARCHITETTURA,Scalo Farini in Milan; museum of the city
ARCHITETTURA,cemetery; grave; sculpture; architecture
ARCHITETTURA,adaptative re-use; artist-in-residence; gasometers Bovisa; co-housing; steel dry cargo container; cultural planning; tank container; cargo container; cultural centre
ARCHITETTURA,S.E.A; A21
ARCHITETTURA,seveso; milan; retraining; multifunctional center; park; relationship; layers; congestion; diagram
ARCHITETTURA,MOSQUE; MUSLIM COMMUNITY; MUSLIMS; ISLAM; EUROPE; MILAN; CONFLICT; INTEGRATION; COEXISTENCE
ARCHITETTURA,project; Morbegno; landscape; Caccia Dominioni; Gavazzi
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,town-and-country planning; territorial plan; motorway; Pedemontana
ARCHITETTURA,territorial system of museum; museums; info points
ARCHITETTURA,home automation; smart home
ARCHITETTURA,acoustics; architecture; technology; facades; building envelope; improvements; soundproofing; noise reduction; legislation; UNI; prediction method; noise certification
ARCHITETTURA,widespread museum of marble; marble of Botticino; sawmill for marble; lime kiln
ARCHITETTURA,social sustainability; relational art
ARCHITETTURA,assembly; dry construction; energy efficiency; self-building; social housing; timber construction
ARCHITETTURA,glass; structural glass; bow window; architecture; engineering; sperimentation; transparency
ARCHITETTURA,Utrecht; Kanaleneiland in Utrecht; social housing in the Netherlands; boat club
ARCHITETTURA,greenway; cycling road
ARCHITETTURA,abandoned villages;  ghost towns; strategies for reactivating the abandoned villages; small historical villages; phenomenon of abandoning villages; depopulation of small historical villages; depopulation of Zeri valley; decrease in the population of small historical villages; reasons for the abandoning of small historical villages
ARCHITETTURA,rifunctionalization
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,policy governance welfare
ARCHITETTURA,high rise housing; sunlight;ventilation; sun protection; light filters; floating public facilities; open spaces
ARCHITETTURA,public space; urban design; scalo Farini
ARCHITETTURA,-
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,enviroment strategic evaluation; geographical information system; enviromental government
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,design competition; design quality; urban development; actors and networks; innovative solutions
ARCHITETTURA,technological innovations; govern of the process; executive phases; project management; construction management; public contracts
ARCHITETTURA,Margherita Zoebeli; CEIS; Rimini; instruction
ARCHITETTURA,seagreen building in Reykjavik Harbour
INGEGNERIA MECCANICA,district heating; cogeneration; trigeneration; energetic optimization model; costs and emissions
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,riqualification dismissed militay areas; urban riqualification middle dimension cities; urban planning in Piacenza; Specioal areas dismission
ARCHITETTURA,unblock; container; contain; microcosm; macrocosm
ARCHITETTURA,Favelas
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,culture; creative city; urban regeneration; policy tools; branding; events; cluster strategy; cultural & creative economy; sustainability
ARCHITETTURA,Milano; cohousing; social housing; housing
ARCHITETTURA,network station
ARCHITETTURA,organic architecture; theater; tanztheater; Pina Bausch; Wuppertal; architecture of movement; public square
ARCHITETTURA,"regulations; city planning; municipality;
analysis; observatory; results; plan; province; form; evaluation; outcomes"
ARCHITETTURA,spa; wellness center
ARCHITETTURA,design expo art
INGEGNERIA MECCANICA,CyberTyre; lateral dynamics control; esp; VDSim; activation logic; saturation logic; braking system; Alfa 159 1.9 JTD
INGEGNERIA MECCANICA,CGI; compacted graphite iron; SGI; spheroidal graphite iron; FGI; flake graphite iron; CE; equivalent carbon
ARCHITETTURA,immaterial in architecture
ARCHITETTURA,"San Siro, Milan, stadium"
ARCHITETTURA,periphery; Genova; Begato; dighe
ARCHITETTURA,mountain shelter; adaptable; transformable
ARCHITETTURA,archeological museum
ARCHITETTURA,self building; cohousing; wood
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,Como; multi dimensional analysis; multiple centrality assessment; landscape planning
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,urban market; urban transformation; pedemontano territory
ARCHITETTURA,gypsies; travellers; roma people; human rights; racism; xenophobia; antiziganism; discrimination; makeshift squatter settlements; camp clearance; integration programme; housing policies
ARCHITETTURA,crack pattern; monitoring
ARCHITETTURA,environs
ARCHITETTURA,immigration; Capitanata; Borgo Tressanti; farmhouse; land reform
ARCHITETTURA,Mozia museum
ARCHITETTURA,environmental regeneration; ornithology
ARCHITETTURA,Valtellina; urban design; landscape
ARCHITETTURA,sustainable architecture; industrial archaeology
INGEGNERIA MECCANICA,digital image correlation; strain field
ARCHITETTURA,Ponte Lambro; hotel Mundial; regeneration; theatre
ARCHITETTURA,railway stations
ARCHITETTURA,Bologna station
ARCHITETTURA,development; masterplan; waterfront; landscape;
ARCHITETTURA,winery; farm; technology; sustainable architecture; technological study of the shell; industrial architecture; materials; CasaClima certification; biodynamic agriculture
ARCHITETTURA,station; green meeting building; conference center; Maggiore lake; Locarno; bio-architecture
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,transformation; factory; rehabilitation;
ARCHITETTURA,ecomuseum; territory; Val Malenco; ethnographic museum; landscape; alpine architecture; rural architecture
ARCHITETTURA,sustainability; energy efficiency; conservation; restauration; dynamic simulation software
PIANIFICAZIONE TERRITORIALE URBANISTICA E AMBIENTALE,"commerce; environment; sport; urban, village; district;"
ARCHITETTURA,globalization; urban development; urban marketing; real estate management
ARCHITETTURA,greenway; paths; public green; Olona river; ecological network; landscape
ARCHITETTURA,multifunctional; sports; arenas
ARCHITETTURA,ecological networks
ARCHITETTURA,station; Bologna; sostenibility; urban lighting
INGEGNERIA MECCANICA,steel; moulds for plastic materials; tensile strength; fracture toughness; fatigue resistance; microstructure; austenitic grain
ARCHITETTURA,Milano; foundation; ibrid
ARCHITETTURA,urban agriculture; Yantai
ARCHITETTURA,via Padova
ARCHITETTURA,building for offices; reconfiguration of the city margin; new spaces of relation
ARCHITETTURA,skyscraper; offices; AEM; Trento square; railway station Porta Romana; tower; business center; Milan; vertical; A2A; Milanese; technology; solar greenhouse; discontinued industrial areas
ARCHITETTURA,awning; cable structure; solar panel
ARCHITETTURA,Rome; Foro Boario; museum in Rome
ARCHITETTURA,square; public space; Cremona; history; contemporary; Stradivari
ARCHITETTURA,Jerusalem; stone; music school; museum; Israel
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,Milan; railway; urban region; empty areas; structural plan
ARCHITETTURA,cohousing; children; selfconstruction
PIANIFICAZIONE TERRITORIALE URBANISTICA E AMBIENTALE,transports; intermodal; transeuropean; development; upgrade; urban renewal
ARCHITETTURA,social housing; sustainbility
ARCHITETTURA,rural architecture; agriculture and architecture; spontaneous architecture
ARCHITETTURA,cultural object; landscape; protection and development; roadman's houses
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,marketing; strategic plan; project; city centre
ARCHITETTURA,passive solar technologies; abandoned industrial areas
INGEGNERIA MECCANICA,creep; quality
ARCHITETTURA,teaching; architecture; second world war; student protest
ARCHITETTURA,self building; youth problems; recycled materials; social housing; pallet
ARCHITETTURA,landscape; glass; Alpes; valley
ARCHITETTURA,landscape; agriculture; Milan; contamination; land reclamation; phytoremediation; bioremediation; land consumption; abandonment of industrial activities
ARCHITETTURA,Whole Foods Market; format recipes; design guidelines; simulation design; market hall; cinema
ARCHITETTURA,user survey; POE
ARCHITETTURA,Lovere; historical centers recovery; tourism
ARCHITETTURA,Istanbul; Costantinopoli; Bisanzio;  Prost's plan; Yenikapi; rail terminal
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,solidariety; reciprocity; associationism; contractual communities; communitarian associations
ARCHITETTURA,temple-towers; My Son; Vietnam; Champa; Cham; Lerici Foundation; DIS; conservation project; restoration
ARCHITETTURA,racecourse; quarry; landscape; restoration
ARCHITETTURA,Parma; tower; offices
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,communication; urban project; Milan; Porta Nuova
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,environment; landscape; coast; cycling
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,public space; Naviglio Grande
ARCHITETTURA,greenway; Tartaro; Tione
ARCHITETTURA,building 11; Politecnico di Milano; Faculty of Architecture; performance evaluation; intervention strategies; Vittoriano ViganÃ²; Gio Ponti; post-occupancy evaluation; university building
ARCHITETTURA,public space; contemporary city; participative planning
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,political of governance; chemical risk; sharing approach way of making decision
ARCHITETTURA,greenways; urban parks; cycling roads
ARCHITETTURA,city logistic
ARCHITETTURA,Risorgimento museum; museum Brera; Streheler theater; Dal Verme theater; Piccolo theater; Alla Scala theater; Filodrammatici theater; Alessandro Manzoni museum; Poldi Pezzoli museum; footpaths; bike-sharing; public spaces; redevelopment
ARCHITETTURA,hospital; healthcare; flexibility
ARCHITETTURA,post-mining landscape; Cesana Brianza; landscape restoration
ARCHITETTURA,laguna; Venice; nature
ARCHITETTURA,Franco Ponti
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,local public transportation; lombardo-ticino city; infrastructural network; airport system; accessibility; intermodality; airport connections
ARCHITETTURA,masterplan; Milan; museum; city; Farini
ARCHITETTURA,night architecture; sustainable dance floor
ARCHITETTURA,expo; 2015; Milan
PIANIFICAZIONE TERRITORIALE URBANISTICA E AMBIENTALE,agriculture; landscape; countryside; agriculture multifunctional; image; iconema; public space; Brescia countryside; farm; fountain; irrigation systems; Maclodio; Lograto; agricultural park;
ARCHITETTURA,scalo Farini; theatre; theatre museum
ARCHITETTURA,La Maddalena; military; archipelago; network
ARCHITETTURA,public space; urban green; densification; Milano; landscape
ARCHITETTURA,chaos theory; complexity; deformation; perception
ARCHITETTURA,theatre; theatre design; Scalo Farini
ARCHITETTURA,reuse; temporary;
ARCHITETTURA,Verbano Cusio Ossola; tourism; soft mobility; province; Alps; landscape; VCO territory; Piedmont; lakes; mountains; Lake Maggiore; Simplon; T24; organic metaphor
ARCHITETTURA,ventilated facade; CFD simulation; interoperability; BIM model;
ARCHITETTURA,advertisement; fashion; district; creative district; Isola-Garibaldi; urban sociology; Isola;
INGEGNERIA MECCANICA,energy management
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,transport planning; exclusion; PUT; PUT; ESA; elderly; children; immigrants; Magentino; Olona
ARCHITETTURA,variation; movement; box; percection; voyeur
INGEGNERIA MECCANICA,damping; vibration control; finite element methods
ARCHITETTURA,ventilation tower; passive cooling; direct solar heat gain; Athens
ARCHITETTURA,daylight in architecture
ARCHITETTURA,infrastructure; public places; public buildings; territorial development; agricultural park; urban park
